,product_name,image,description,price
81,FIJI天然礦泉水,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0022051691654713478.jpg,500ML,HK$15.90
82,GALLO FAMILY VINEYARDS SWEET PEACH,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0022541001654713807.jpg,750ML,HK$49.90
83,GEORGIA 藍山咖啡,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0029419041654939693.jpg,185G,HK$12.90
84,Ghost Pines仙芬黛,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0024742291654937511.jpg,750 ML,HK$139.00
85,Ghost Pines梅洛酒,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0024742111654937511.jpg,750 ML,HK$139.00
86,GOLDPACK 信州安曇野 天然水,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0022787451654936417.jpg,1pc,HK$16.90
87,GOLDPACK 信州安曇野 天然水,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0022787521654936418.jpg,500ML,HK$7.90
88,GRAND BRUT,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0027572011654938849.jpg,750ML,HK$405.00
89,GRANDE RESERVE,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0022472111654713755.jpg,1pc,HK$229.00
90,HFT土耳其果茶茶棒 - 紅石榴味,https://www.aeoncity.com.hk/media/catalog/product/placeholder/default/aeon_place_1.jpeg,20's,HK$45.00
91,HFT土耳其果茶茶棒 - 蘋果味,https://www.aeoncity.com.hk/media/catalog/product/placeholder/default/aeon_place_1.jpeg,20's,HK$45.00
92,HONEY TENNESSEE WHISKEY,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0021476761654712967.jpg,700ML,HK$335.00
93,IF 100%椰青水,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0020474881654712106.jpg,350ML,HK$11.50
94,IICHIKO 麥酌燒,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0023474741654936811.jpg,1pc,HK$149.00
95,ITOEN 伊藤園綠茶葉,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0023919441654937036.jpg,150G,HK$42.00
96,K1664 白啤酒細樽裝,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0027922811654939018.jpg,330ML,HK$17.50
97,KAGOME 提子混合汁,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0029292301654939625.jpg,280ML,HK$9.00
